Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Bourne Shell,Dockerfile
0.43-stable,26,0,0,0,0,0,0,0,0,0,0,0,0,0,138,79,33,
0.44-stable,27,0,0,0,0,0,0,0,0,0,0,0,0,0,148,79,42,
0.45-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,151,80,43,
0.46-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,151,80,43,
0.47-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,151,80,43,
0.48-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,151,80,43,
0.49-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,151,80,43,
0.50-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,151,80,43,
0.51-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,151,80,43,
0.52-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,151,80,43,
0.53-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,141,80,33,
0.54-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,141,80,33,
0.55-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,141,80,33,
0.56-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,139,80,31,
0.57-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,139,80,31,
0.58-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,142,80,34,
0.59-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,121,80,13,
