Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.40-stable,386,0,0,0,0,0,0,0,0,0,11,29,0,0,426,
0.41-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.42-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.43-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.44-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.45-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.46-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.47-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.48-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.49-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.50-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.51-stable,387,0,0,0,0,0,0,0,0,0,11,30,0,0,428,
0.52-stable,393,0,0,0,0,0,0,0,0,0,11,30,0,0,434,
0.53-stable,393,0,0,0,0,0,0,0,0,0,11,30,0,0,434,
0.54-stable,409,0,0,0,0,0,0,0,0,0,11,30,0,0,450,
0.55-stable,423,0,0,0,0,0,0,0,0,0,11,30,0,0,464,
0.56-stable,488,0,0,0,0,0,0,0,0,0,11,30,0,0,529,
0.57-stable,489,0,0,0,0,0,0,0,0,0,11,30,0,0,530,
0.58-stable,489,0,0,0,0,0,0,0,0,0,11,30,0,0,530,
