Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Sum stats
0.23-stable,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0.24-stable,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0.25-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
0.26-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
0.27-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
0.28-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
0.29-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
0.30-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
0.31-stable,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
0.32-stable,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
0.33-stable,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
0.34-stable,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
0.35-stable,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
0.36-stable,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
0.37-stable,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
0.38-stable,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
0.39-stable,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
0.40-stable,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
0.41-stable,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
0.42-stable,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
0.43-stable,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
0.44-stable,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
0.45-stable,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
0.46-stable,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
0.47-stable,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
0.48-stable,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
0.49-stable,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
0.50-stable,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
0.51-stable,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
0.52-stable,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
0.53-stable,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
0.54-stable,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
0.55-stable,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
0.56-stable,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516
0.57-stable,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516
0.58-stable,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734
0.59-stable,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704
0.60-stable,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707
0.61-stable,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680
0.62-stable,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699
0.63-stable,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699
0.64-stable,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689
0.65-stable,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689
