subsystem,growth_rate, num_languages
ContainerShip,0.053606233060179635,4
Examples,0.02433702339613304,0
IntegrationTests,0.024116404616842457,3
JSCLegacyProfiler,0.023177792312659214,0
Libraries,0.022333242195548407,10
RNTester,0.05629732691158139,12
React,0.01746893758955317,5
ReactAndroid,0.028276290387642566,11
ReactCommon,0.06711601108680601,7
ReactNative,0,0
Tools,0.1332325878723415,0
aggregate,0.023200923276235606,0
babel-preset,0.029478075163596795,0
blog,0.07457186104023687,0
bots,0.016225212691081875,4
danger,0.1430175025301861,0
docs,0.027119592997259107,0
flow-github,0,0
flow-typed,-0.08864291772688719,2
flow,0.05423970311343533,2
gradle,0,0
jest,0.05508552586373782,2
jestSupport,0.004636591616671117,0
keystores,0,0
lib,0.027492877492877495,2
lint,0,0
local-cli,0.024696324555712156,1
packager,0.01898285998356762,0
packages,0.23390828473714023,6
private-cli,0.3634447073426525,0
react-native-cli,0.01895846166738649,0
react-native-git-upgrade,0.05432926240068581,0
react-native-gradle,0.16666666666666666,0
repo-config,0,0
scripts,0.03160360432723385,5
template,0.19781922860392007,12
third-party-podspecs,0.020685657932441547,2
website,0.016723900388199715,0
tools,0.1332325878723415,2

