Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
45,0,0,0,0,0,0,3,0,0,0,3
46,0,0,0,0,0,0,3,0,0,0,3
47,0,0,0,0,0,0,3,0,0,0,3
48,0,0,0,0,0,0,3,0,0,0,3
49,0,0,0,0,0,0,3,0,0,0,3
50,0,0,0,0,0,0,3,0,0,0,3
51,0,0,0,0,0,0,3,0,0,0,3
52,0,0,0,0,0,0,3,0,0,0,3
53,0,0,0,0,0,0,3,0,0,0,3
54,0,0,0,0,0,0,3,0,0,0,3
55,0,0,0,0,0,0,3,0,0,0,3
56,0,0,0,0,0,0,3,0,0,0,3
57,0,0,0,0,0,0,3,0,0,0,3
58,0,0,0,0,0,0,3,0,0,0,3
59,0,0,0,0,0,0,3,0,0,0,3
60,0,0,0,0,0,0,3,0,0,0,3
61,0,0,0,0,0,0,3,0,0,0,3
62,0,0,0,0,0,0,3,0,0,0,3
63,0,0,0,0,0,0,3,0,0,0,3
64,0,0,0,0,0,0,4,0,0,0,4
65,0,0,0,0,0,0,3,0,0,0,3
